Date,Returns
15-08-2014,-1.4909911280304942
14-08-2014,0.2040089702735075
13-08-2014,0.022621494111705633
12-08-2014,-2.096447505923604
11-08-2014,0.9151752267003176
08-08-2014,0.15672501266902827
07-08-2014,-0.9511780864465537
06-08-2014,0.5350132226136203
05-08-2014,-0.2302446861905791
04-08-2014,1.4299194299722173
01-08-2014,-1.2352880830157975
31-07-2014,0.9769170340578842
30-07-2014,2.767667295672448
29-07-2014,-0.3081285680761571
28-07-2014,0.8521100329473383
25-07-2014,-0.2675260387441137
24-07-2014,0.7351143070838646
23-07-2014,0.4432465089552041
22-07-2014,-0.20805520514734613
21-07-2014,-0.8861088811692466
18-07-2014,0.9517067581651729
17-07-2014,-3.587756314124124
16-07-2014,1.5564863016084718
15-07-2014,0.3638487909387967
14-07-2014,0.015384861130090204
11-07-2014,-0.972858317747872
10-07-2014,-1.3950835836940432
09-07-2014,0.8720022151257532
08-07-2014,-0.8661957654370359
07-07-2014,1.9541598427366802
03-07-2014,0.4259331416111772
02-07-2014,-0.4095882067513588
01-07-2014,0.057520580070334726
30-06-2014,-1.2682967580093576
27-06-2014,0.34070663349761887
26-06-2014,-0.21482023871028352
25-06-2014,0.46007240404843064
24-06-2014,-2.424607501177051
23-06-2014,0.05844736224963094
20-06-2014,-1.5204969973240956
19-06-2014,-0.2624183011963233
18-06-2014,-0.27572663914586487
17-06-2014,-1.872159595157023
16-06-2014,0.23388468623826594
13-06-2014,1.374283972921071
12-06-2014,-0.07430715544763544
11-06-2014,1.3584817926889932
10-06-2014,0.30599176030096564
09-06-2014,0.28008812184235493
06-06-2014,-1.030033215959652
05-06-2014,-0.4367898670123072
04-06-2014,-1.66817499770841
03-06-2014,0.05140872244769167
02-06-2014,1.6497243268481714
30-05-2014,1.0759562093061366
29-05-2014,0.0339306170346879
28-05-2014,0.28567753908925625
27-05-2014,0.7602178300838386
23-05-2014,-2.341200232192603
22-05-2014,-1.3823047861343851
21-05-2014,-1.1228060012109584
20-05-2014,-1.7014890448463649
19-05-2014,-0.17177696857747954
16-05-2014,-1.5561758862146162
15-05-2014,-0.12485547335222989
14-05-2014,1.2827528344982895
13-05-2014,1.222822653663265
12-05-2014,-0.5946454648352191
09-05-2014,-2.1116396343799058
08-05-2014,-1.4901830640510978
07-05-2014,-0.20352001811781242
06-05-2014,1.0157630841906928
05-05-2014,2.4595264768865004
02-05-2014,0.022738950774758727
01-05-2014,0.6478147446037391
30-04-2014,-0.8826621825869772
29-04-2014,0.1974741359354528
28-04-2014,-1.9992425276208121
25-04-2014,-0.18756696805476808
24-04-2014,1.7396974083298358
23-04-2014,0.3389481283143696
22-04-2014,1.4935283504264354
21-04-2014,-1.1574172009933976
17-04-2014,1.4149959975022812
16-04-2014,3.81272122639258
15-04-2014,-3.6115923511967645
14-04-2014,-0.73074978384821
11-04-2014,-0.36054821897516737
10-04-2014,1.9506208709289108
09-04-2014,4.286906312888322
08-04-2014,-1.6378948698954412
07-04-2014,-3.018555358991495
04-04-2014,0.9272472780464275
03-04-2014,4.897446426854562
02-04-2014,-0.48091842517416816
01-04-2014,0.028215744925349947
31-03-2014,-1.796672727468732
28-03-2014,0.5422282040375793
27-03-2014,-0.2732204132031737
26-03-2014,1.24591845729688
25-03-2014,2.363140190066582
24-03-2014,-0.06818384999489852
21-03-2014,2.168525115104359
20-03-2014,1.1935343015371351
19-03-2014,0.17458656384314228
18-03-2014,1.0014540012046869
17-03-2014,-1.5818179871458424
14-03-2014,-1.618989603765323
13-03-2014,1.3864202777114738
12-03-2014,1.5339836981823365
11-03-2014,-0.6054843274750558
10-03-2014,0.9650069463688578
07-03-2014,0.2657734517790174
06-03-2014,0.3967764774842837
05-03-2014,-0.11069213615296518
04-03-2014,-0.27498506131682576
03-03-2014,-1.0058316550538553
28-02-2014,1.0775858208817926
27-02-2014,0.29285126088727553
26-02-2014,0.07872993439880015
25-02-2014,-0.013928017616674454
24-02-2014,-0.6139348941820821
21-02-2014,-0.7191644070365842
20-02-2014,0.026575983998719504
19-02-2014,-0.14698932461171718
18-02-2014,0.7102771578241834
14-02-2014,-0.6672814843603396
13-02-2014,-0.24110326426566345
12-02-2014,-1.1009330673537063
11-02-2014,0.2941024864994615
10-02-2014,-1.449367738620433
07-02-2014,0.3845076866794701
06-02-2014,-1.4845724082315137
05-02-2014,-1.4448750452257728
04-02-2014,-0.44087301324479333
03-02-2014,-0.41557806179599294
31-01-2014,4.194343733374118
30-01-2014,-3.8595389803067475
29-01-2014,-2.5075050319430736
28-01-2014,1.453582024908415
27-01-2014,-1.939436239223595
24-01-2014,2.052252656754205
23-01-2014,3.227364008905665
22-01-2014,0.42410002992623164
21-01-2014,-0.1133021216837674
17-01-2014,-1.1317375511029466
16-01-2014,0.49455020546606426
15-01-2014,-0.6573068784194309
14-01-2014,0.06790860922790147
13-01-2014,-2.2985964116650015
10-01-2014,0.6411494898295954
09-01-2014,0.005312417385399415
08-01-2014,0.9723611041203636
07-01-2014,-0.2076757171132107
06-01-2014,-1.8913569871598428
03-01-2014,-1.102643291667078
02-01-2014,0.7348456120671386
31-12-2013,0.6818662046065466
30-12-2013,-1.0038296402671858
27-12-2013,0.8057975622659747
26-12-2013,-0.08405163357431458
24-12-2013,-0.5029251005553768
23-12-2013,0.29320560024762427
20-12-2013,-1.2985360097691259
19-12-2013,-1.3083502865431331
18-12-2013,-0.13533999161544308
17-12-2013,-1.372662303692573
16-12-2013,0.29163157942443346
13-12-2013,-1.1360929873616088
12-12-2013,0.8644486854241455
11-12-2013,0.6850708700926601
